GN;Promax;Código SAP;Rede Código;CNPJ;Inplant;Rede;CDD;EG DV;Nome;UNB;PDV;Segunda;Terça;Quarta;Quinta;Sexta;Sábado;LAT;LONG
Kelson;11200;10028770;3,95E+02;6,05722E+12;Fabricia Da Silva Oliveira;Assai Comercial E Importadora Ltda;MAN;840947;Assai V8;849;11200;1;1;1;1;1;1;-3,0912383;-59,99053
Kelson;57000;10037674;3,95E+02;6,05722E+12;Fabricia Da Silva Oliveira;Assai Comercial E Importadora Ltda;MAN;931950;Assai Torquato;849;57000;1;1;1;1;1;1;-3,054305;-60,0222717
Kelson;42621;10019860;5,40E+01;7,53153E+13;Fabricia Da Silva Oliveira;Atacadao S.A.;MAN;725765;Atacadão Av Md;849;42621;1;1;1;1;1;1;-3,084022156;-59,95070782
Kelson;42820;10020145;5,40E+01;7,53153E+13;Fabricia Da Silva Oliveira;Atacadao S.A.;MAN;729108;Atacaao Distribuicao;849;42820;1;1;1;1;1;1;-3,036228333;-59,993235
Kelson;43896;10025388;5,40E+01;7,53153E+13;Fabricia Da Silva Oliveira;Atacadao S.A.;MAN;793388;Atacadao Educandos Lj 188;849;43896;1;1;1;1;1;1;-3,142694;-60,0071395
Kelson;56238;10036876;5,40E+01;7,53153E+13;Fabricia Da Silva Oliveira;Atacadao S.A.;MAN;923834;Atacadao Manaus Moderna;849;56238;1;1;1;1;1;1;-3,13806;-60,01269
Kelson;56240;10036877;5,40E+01;7,53153E+13;Fabricia Da Silva Oliveira;Atacadao S.A.;MAN;923842;Atacadao Japiim;849;56240;1;1;1;1;1;1;-3,10851;-59,9813867
Kelson;42107;10019335;5,40E+01;7,53153E+13;Fabricia Da Silva Oliveira;Atacadao S.A.;MAN;716979;Atacadao2;849;42107;1;1;1;1;1;1;-3,0846224;-59,951581
Kelson;95956;10012829;5,42E+02;3,48854E+12;Fabricia Da Silva Oliveira;Atack;MAN;509558;Atack;849;95956;1;1;1;1;1;1;-3,0762167;-59,9648617
Kelson;41710;10009828;5,42E+02;3,48854E+12;Fabricia Da Silva Oliveira;Atack;MAN;708283;Cdl Centro;849;41710;1;1;1;1;1;1;-3,0426333;-60,00784
Kelson;43901;10026755;5,42E+02;3,48854E+12;Fabricia Da Silva Oliveira;Atack;MAN;816671;Atack Alvorada;849;43901;1;1;1;1;1;1;-3,0804;-60,04672
Kelson;50326;10033018;5,42E+02;3,48854E+12;Fabricia Da Silva Oliveira;Atack;MAN;885576;Atack Torres;849;50326;1;1;1;1;1;1;-3,06579;-59,99113
Kelson;63061;10041341;5,42E+02;3,48854E+12;Fabricia Da Silva Oliveira;Atack;MAN;976474;Atack Parque 10;849;63061;1;1;1;1;1;1;-3,069201;-60,014785
Kelson;29031;10015370;1,02E+03;6,637E+12;Fabricia Da Silva Oliveira;Atm Veneza;MAN;616648;Atm Veneza;849;29031;1;1;1;1;1;1;-3,0695;-60,00683
Kelson;89000;10031315;1,02E+03;6,637E+12;Fabricia Da Silva Oliveira;Atm Veneza;MAN;866830;Super Veneza Lg Azul;849;89000;1;1;1;1;1;1;-2,96921;-60,01529
Kelson;58447;10039589;1,02E+03;6,637E+12;Fabricia Da Silva Oliveira;Atm Veneza;MAN;954080;Veneza Ponta Negra;849;58447;1;1;1;1;1;1;-3,0633;-60,09134
Kelson;57824;10039247;1,02E+03;6,637E+12;Fabricia Da Silva Oliveira;Atm Veneza;MAN;950319;Veneza Centro 2167;849;57824;1;1;1;1;1;1;-3,12296;-60,02103
Kelson;78231;10046148;2,04E+03;4,56529E+12;Fabricia Da Silva Oliveira;Bemol;MAN;1029100;Bemol Cd Taruma;849;78231 ;0;1;1;0;0;0;-2,994316;-60,048798
Kelson;56303;10038199;1,96E+03;2,00853E+13;Fabricia Da Silva Oliveira;Coema;MAN;937533;Supermercado Coema-;849;56303;1;1;1;1;1;1;-3,0235159;-60,0211658
Kelson;43823;10038194;1,96E+03;2,00853E+13;Fabricia Da Silva Oliveira;Coema;MAN;937398;Supermercado Coema;849;43823;1;1;1;1;1;1;-3,109801107;-59,96629994
