CodigoProduto;DescricaoProduto;UnidadeMedida;GradeEstoque;GradeCadastrada;Reserva;Saida;SaldoDisponivel
13201;BRAHMA CHOPP GFA VD 300ML CX C/23;Caixa;1;322;0;304;18
13201;BRAHMA CHOPP GFA VD 300ML CX C/23;Caixa;2;126;0;20;106
13203;ANTARCTICA PILSEN GFA VD 300ML CX C/23;Caixa;1;570;0;270;300
13203;ANTARCTICA PILSEN GFA VD 300ML CX C/23;Caixa;2;32;0;20;12
13205;SKOL GFA VD 300ML CX C/23;Caixa;1;132;0;6;126
13205;SKOL GFA VD 300ML CX C/23;Caixa;2;48;0;0;48
13307;BUDWEISER GFA VD 990ML CX C/12;Caixa;1;1;0;0;1
13486;FUSION PET 1L SH C/06;Caixa;2;70;0;0;70
13486;FUSION PET 1L SH C/06;Caixa;1;64;0;0;64
13566;SKOL BEATS SENSES LT 269ML CX C/8 FRIDGE PACK;Caixa;2;385;0;377;8
13566;SKOL BEATS SENSES LT 269ML CX C/8 FRIDGE PACK;Caixa;1;88;0;0;88
14138;SKOL BEATS SENSES LATA 473ML SIX-PACK SH C/2 NPAL;Caixa;1;1;0;0;1
14340;ORIGINAL ONE WAY 300ML CXPAP12;Caixa;1;80;0;40;40
14340;ORIGINAL ONE WAY 300ML CXPAP12;Caixa;2;235;0;0;235
14550;COLORADO APPIA ONE WAY 600ML CX C-12 ARTE;Caixa;2;437;0;32;405
14550;COLORADO APPIA ONE WAY 600ML CX C-12 ARTE;Caixa;1;103;0;1;102
14552;COLORADO INDICA ONE WAY 600ML CX C-12 ARTE;Caixa;1;19;0;1;18
14552;COLORADO INDICA ONE WAY 600ML CX C-12 ARTE;Caixa;2;162;0;0;162
14554;COLORADO DEMOISELLE ONE WAY 600ML CX C-12 ARTE;Caixa;1;17;0;0;17
14556;COLORADO VIXNU ONE WAY 600ML CX C-12 ARTE;Caixa;1;7;0;1;6
14556;COLORADO VIXNU ONE WAY 600ML CX C-12 ARTE;Caixa;2;29;0;0;29
14842;PEPSI COLA LT 269ML SH C/15;Caixa;1;339;0;9;330
14842;PEPSI COLA LT 269ML SH C/15;Caixa;2;2530;0;1203;1327
14844;GUARANA CHP ANTARCTICA LT 269ML SH C/15;Caixa;2;4337;0;354;3983
14844;GUARANA CHP ANTARCTICA LT 269ML SH C/15;Caixa;1;274;0;18;256
17276;PATAGONIA AMB LAG NACIONAL LN 355ML CX C/12;Caixa;1;38;0;0;38
17276;PATAGONIA AMB LAG NACIONAL LN 355ML CX C/12;Caixa;2;324;0;7;317
17278;PATAGONIA WEISSE NACIONAL LN 355ML CX C/12;Caixa;1;6;0;0;6
17278;PATAGONIA WEISSE NACIONAL LN 355ML CX C/12;Caixa;2;46;0;0;46
17757;BECKS N LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;1;91;0;2;89
17757;BECKS N LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;2;198;0;4;194
17797;BRAHMA CHOPP LATA 350ML SH C/18 NPAL MULTPACK;Caixa;1;873;0;0;873
17808;BUDWEISER OW 330ML CX C/24;Caixa;2;2931;0;98;2833
17808;BUDWEISER OW 330ML CX C/24;Caixa;1;479;0;14;465
17874;WALS COCO BAMBU ONE WAY 600ML CX C/12 ARTE;Caixa;1;21;0;0;21
18135;SERRAMALTE LATA 350ML SIX-PACK SH C/2 NPAL;Caixa;2;255;0;0;255
18137;GUARANA CHP ANTARCTICA PET 3L C/04 SHRINK LISO;Caixa;1;15;0;4;11
18142;GOOSE ISLAND MIDWAY NAC LN 355ML CX C/12;Caixa;1;1;0;0;1
18152;GUARANA CHP ANTARCTICA PET 200ML SH C/12;Caixa;1;933;0;879;54
18152;GUARANA CHP ANTARCTICA PET 200ML SH C/12;Caixa;2;1886;0;270;1616
18266;PEPSI COLA PET 200ML SH C/12;Caixa;1;165;0;6;159
18266;PEPSI COLA PET 200ML SH C/12;Caixa;2;2059;0;473;1586
18267;SODA LIMONADA ANTARCTICA PET 200ML SH C/12;Caixa;2;18;0;0;18
18267;SODA LIMONADA ANTARCTICA PET 200ML SH C/12;Caixa;1;6;0;2;4
18268;SUKITA PET 200ML SH C/12;Caixa;2;254;0;102;152
18268;SUKITA PET 200ML SH C/12;Caixa;1;108;0;8;100
18341;PEPSI COLA PET 3000 ML C/04 SHRINK LISO .;Caixa;1;3;0;0;3
18390;GUARANA CHP ANTARCTICA LATA 350ML SH C/18 NPAL MULTPACK;Caixa;1;192;0;8;184
18390;GUARANA CHP ANTARCTICA LATA 350ML SH C/18 NPAL MULTPACK;Caixa;2;289;0;0;289
18750;PATAGONIA BOH PILS NACIONAL ONE WAY 740ML CX6;Caixa;2;477;0;0;477
18750;PATAGONIA BOH PILS NACIONAL ONE WAY 740ML CX6;Caixa;1;166;0;0;166
18752;PATAGONIA WEISSE NACIONAL ONE WAY 740ML CX6;Caixa;1;1;0;0;1
18772;PATAGONIA AMB LAG NACIONAL ONE WAY 740ML CX6;Caixa;1;21;0;0;21
18772;PATAGONIA AMB LAG NACIONAL ONE WAY 740ML CX6;Caixa;2;69;0;3;66
18780;CORONITA EXTRA N OW 210ML CX C/4 SIX PACK;Caixa;2;16775;0;14;16761
18780;CORONITA EXTRA N OW 210ML CX C/4 SIX PACK;Caixa;1;1431;0;62;1369
18807;STELLA ARTOIS LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;2;1912;0;4;1908
18807;STELLA ARTOIS LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;1;2032;0;186;1846
18836;CORONA EXTRA N LONG NECK 330ML CX C/24 NPAL;Caixa;1;1199;0;251;948
18836;CORONA EXTRA N LONG NECK 330ML CX C/24 NPAL;Caixa;2;1346;0;115;1231
18856;SKOL LT 269ML SH C/15 MULTPACK 15;Caixa;1;11561;11227;334;0
18858;ANTARCTICA PILSEN LT 269ML SH C/15 MULTPACK 15;Caixa;1;106;0;48;58
18860;BRAHMA CHOPP LT 269ML SH C/15 MULTPACK 15;Caixa;1;2;0;2;0
19164;GUARANA CHP ANTARCTICA PET 1L PACK C/2 MULTPACK;Caixa;1;702;0;381;321
